Date,Close,Open,High,Low,Vol
6/1/2021,36687.6,37294.3,37850.3,35742.7,113480
6/2/2021,37555.8,36687.7,38199.9,35981.1,96890
6/3/2021,39187.3,37555.7,39462.3,37193.6,106440
6/4/2021,36851.3,39191.4,39255.4,35659.9,127710
6/5/2021,35520,36841.2,37887.6,34832,101480
6/6/2021,35815.4,35518.7,36434,35265.3,62200
6/7/2021,33578,35815.4,36754.6,33410.1,119500
6/8/2021,33382.9,33574.6,34047.8,31158.1,193540
6/9/2021,37332.2,33385.5,37517.6,32428.6,209820
6/10/2021,36649.4,37375.2,38340.8,35824,154320
6/11/2021,37314.6,36654.3,37641.1,36003.3,109150
6/12/2021,35467.5,37334.4,37437.3,34703.3,87730
6/13/2021,39022.9,35467.5,39321.6,34827,123320
6/14/2021,40529.4,39024.1,40970.4,38769.9,157350
6/15/2021,40156.1,40522.5,41318,39589.9,117550
6/16/2021,38336,40148.1,40494.4,38156.4,123520
6/17/2021,38052,38337.8,39529.9,37425.3,109580
6/18/2021,35749.4,38045.5,38166,35198.5,102840
6/19/2021,35513.4,35770,36357.3,34845.5,105460
6/20/2021,35595.8,35510.9,36097.9,33378,137480
6/21/2021,31692,35597.9,35708.4,31284.1,256870
6/22/2021,32496.4,31682.7,33272.5,28901.8,309650
6/23/2021,33674.3,32498.3,34784.3,31736.5,173340
6/24/2021,34665.8,33678.1,35249.9,32356.7,119250
6/25/2021,31594,34660.5,35490.9,31337.9,193430
6/26/2021,32243.4,31592.1,32643,30206.9,156670
6/27/2021,34678.5,32247.1,34685.5,32041.7,148800
6/28/2021,34475.9,34682.2,35231.2,33944.9,112000
6/29/2021,35834.7,34477.3,36590.3,34247.6,97270
6/30/2021,35026.9,35832.6,36089.5,34126.6,107070
7/1/2021,33543.6,35030.7,35032.7,32839.2,27410
7/2/2021,33813.4,33542.2,33925.9,32734.6,78930
7/3/2021,34742.8,33814.2,34909.8,33363.3,55690
7/4/2021,35298.2,34742.8,35957.6,34740.1,56130
7/5/2021,33687.8,35297,35300.5,33164.1,88360
7/6/2021,34225.6,33688.5,35062,33581.7,83630
7/7/2021,33867.8,34228.7,35036.6,33801.3,72030
7/8/2021,32866.3,33859.4,33923.2,32146.9,108090
